community_id,top_10_mesh_terms
n2-1652,Principal Component Analysis;Support Vector Machine;Workflow*;Genomics / methods*;Humans;Databases as Topic*;Algorithms*;Multivariate Analysis
n2-1654,"Middle Aged;ADAM10 Protein / genetics;Amyloid beta-Peptides / metabolism;Male;Humans;Induced Pluripotent Stem Cells / metabolism;Case-Control Studies;Alzheimer Disease / metabolism*;RNA, Messenger / genetics;Receptor, Notch1 / genetics"
n2-1655,"Mice;Animals;Membrane Proteins / metabolism*;Serine Endopeptidases / metabolism*;Humans;Proteolysis*;Recombinant Proteins / pharmacokinetics;Diabetes Mellitus, Type 2 / drug therapy;Endopeptidases;Fibroblast Growth Factors* / pharmacokinetics"
n2-1656,"Cattle Diseases / economics*;Milk / economics;Risk;Dairying / economics*;Cattle Diseases / pathology;Ketosis / economics*;Models, Theoretical;Animals;Cattle;Farms"
n2-1657,"Putrescine / metabolism;Spermine / metabolism;Gene Expression Regulation, Plant / genetics;Herbicides / metabolism*;Drug Resistance / physiology*;Eleusine / genetics*;Eleusine / metabolism;Spermidine / metabolism;Paraquat / metabolism;Polyamines / metabolism"
n2-1658,Cognitive Dysfunction / epidemiology;Dementia / physiopathology*;Dementia / epidemiology;Middle Aged;Cognitive Dysfunction / etiology;Male;Humans;Dementia / diagnostic imaging;Cognitive Dysfunction / diagnostic imaging;Memory / physiology
n2-1659,"Ethnicity / genetics*;Middle Aged;Asian People / ethnology;Male;Humans;Child, Preschool;Case-Control Studies;Logistic Models;Vitiligo / enzymology*;Haplotypes / genetics"
n2-1660,"History, Ancient;DNA, Fungal / genetics*;Humans;Industrial Microbiology / methods*;Inbreeding;Europe;Vitis / microbiology;Microsatellite Repeats*;Americas;Genetic Variation"
n2-1661,Zea mays / metabolism*;Carbon / analysis;Carbon Cycle;Plant Leaves / metabolism*;Soil / chemistry*;Carbon / metabolism*
n2-1662,"Microvessels / pathology;Adenoma / blood supply;Adenoma / genetics*;Humans;Pituitary Neoplasms / blood supply;Pituitary Neoplasms / genetics*;Pituitary Neoplasms / pathology;Securin / genetics*;Gene Expression Regulation, Neoplastic*;Securin / metabolism"
n2-1663,Decision Making*;Motivation;Behavior Therapy*;Severity of Illness Index;Male;Marijuana Abuse / psychology*;Humans;Marijuana Abuse / therapy;Adolescent;Young Adult
n2-1664,Male;Humans;Thinness / epidemiology*;Risk Factors;Overweight / epidemiology*;Adolescent Nutritional Physiological Phenomena*;Thinness / physiopathology;Indonesia / epidemiology;Malnutrition / physiopathology;Socioeconomic Factors
n2-1665,"Dioxygenases / genetics*;Brassica napus / genetics;Phylogeny;Arabidopsis / enzymology;Chromosome Mapping;Gene Expression Regulation, Plant;Plant Proteins / genetics*;Plant Proteins / classification;Plant Proteins / metabolism;Dioxygenases / metabolism"
n2-1666,"Selenium / administration & dosage*;Epigenesis, Genetic / drug effects*;Male;Cell Proliferation;Colorectal Neoplasms / chemically induced;Anticarcinogenic Agents / administration & dosage*;Selenium / pharmacology;Azoxymethane;Administration, Oral;Rats"
n2-1667,"Mice, Inbred C57BL;Tumor Suppressor Proteins / metabolism*;Animals;CD8-Positive T-Lymphocytes / cytology*;Cell Survival;Proto-Oncogene Proteins c-bcl-2 / metabolism*;Receptors, OX40 / genetics;Receptors, OX40 / metabolism*;CD8-Positive T-Lymphocytes / metabolism;Up-Regulation"
n2-1668,"Hemorrhagic Fever Virus, Crimean-Congo / classification*;Africa;Hemorrhagic Fever Virus, Crimean-Congo / isolation & purification;Genome, Viral;Phylogeny;Hemorrhagic Fever, Crimean / virology;Humans;Bayes Theorem;Asia;Europe"
n2-1669,"Surgery, Computer-Assisted / methods*;Time Factors;Biomarkers / blood;Inflammation Mediators / blood*;Male;Humans;Arthroplasty, Replacement, Knee / methods*;Prospective Studies;Aged;Female"
n2-1670,Polychlorinated Biphenyls / toxicity*;Animals;Stereoisomerism;Zebrafish / growth & development;Larva / drug effects*;Zebrafish / embryology*;Gene Expression / drug effects*
n2-1671,"Limb Buds / metabolism;Ubiquitin-Protein Ligases / metabolism;Mice;Gene Deletion*;Tretinoin / metabolism;Mutation*;Ubiquitin-Protein Ligases / genetics*;Limb Buds / abnormalities;Gene Expression Regulation, Developmental;Mouse Embryonic Stem Cells / metabolism"
n2-1672,Male;Cytomegalovirus / isolation & purification*;Humans;Cytomegalovirus / genetics;Glycoproteins / genetics*;Real-Time Polymerase Chain Reaction;Adolescent;Viral Proteins / genetics*;Young Adult;Female
n2-1674,"Blood Glucose / metabolism;Cell Fusion / methods*;Caspase 3 / metabolism;Male;Cell Proliferation;Antigens, CD / metabolism;Islets of Langerhans / cytology*;Cellular Reprogramming;Mice;Gene Expression Regulation"
n2-1675,Middle Aged;Adult;Heart Rate / physiology;Animals;Male;Humans;Persistent Vegetative State / physiopathology;Persistent Vegetative State / therapy*;Animal Assisted Therapy*;Consciousness / physiology*
n2-1676,"Middle Aged;Tomography, X-Ray Computed;Operative Time;Tuberculosis, Pulmonary / diagnostic imaging;Male;Humans;Lung / surgery*;Retrospective Studies;Thoracic Surgery, Video-Assisted / methods;Female"
n2-1677,"Phylogeny*;Sequence Analysis, DNA / methods*;DNA, Fungal / genetics*;DNA, Ribosomal Spacer / genetics;Japan;Parmeliaceae / classification;Cluster Analysis;Polymorphism, Genetic;China;Bayes Theorem"
n2-1678,"Hydrophobic and Hydrophilic Interactions;Protein Structure, Secondary;Water / chemistry;Escherichia coli / genetics;Hydrogen Bonding;Bacteriorhodopsins / chemistry*;Protein Multimerization;Crystallography, X-Ray*;Haloarcula marismortui / chemistry*;Bacteriorhodopsins / genetics"
n2-1679,"Aldehyde Oxidase / metabolism;Amino Acid Substitution;Recombinant Proteins / chemistry;Rhodobacter capsulatus / genetics;Kinetics;Models, Chemical;Mice;Xanthine Dehydrogenase / metabolism;Rhodobacter capsulatus / enzymology;Substrate Specificity"
n2-1681,"Protein Structure, Tertiary;Escherichia coli Proteins / metabolism;Protein Structure, Quaternary;Ribosomes / chemistry*;Protein Biosynthesis;Catalytic Domain;Escherichia coli Proteins / chemistry*;Molecular Conformation;Transcription Factors / metabolism;RNA, Transfer / metabolism"
n2-1682,"Middle Aged;Fibroblasts / radiation effects;Neoplasms / genetics*;Single-Cell Analysis;Male;Genome, Human / genetics*;Humans;Mutagenesis / genetics;Mutation / genetics;Genome, Human / radiation effects"
n2-1685,"p300-CBP Transcription Factors / metabolism;Drug Resistance, Neoplasm* / drug effects;Humans;Phosphorylation / drug effects;Cell Proliferation / drug effects;Multiple Myeloma / genetics;Multiple Myeloma / drug therapy*;Multiple Myeloma / enzymology;Signal Transduction* / drug effects;Up-Regulation / genetics"
n2-1686,"Radiometry;Radiotherapy, Intensity-Modulated / adverse effects;Radiotherapy Planning, Computer-Assisted;Radiotherapy Dosage;Humans;Organs at Risk / radiation effects;Esophageal Neoplasms / diagnostic imaging;Radiotherapy, Intensity-Modulated / instrumentation*;Esophageal Neoplasms / radiotherapy*;Time Factors"
n2-1687,Diagnostic Techniques and Procedures / instrumentation*;Humans;Point-of-Care Systems*;Mycobacterium tuberculosis / physiology*;Nanoparticles;Mycobacterium tuberculosis / genetics;Real-Time Polymerase Chain Reaction;Time Factors;Sputum / microbiology;Mycobacterium tuberculosis / isolation & purification*
n2-1688,"Introns;Middle Aged;Genetic Predisposition to Disease*;Male;Humans;Polymorphism, Single Nucleotide*;Case-Control Studies;Schizophrenia / ethnology*;Schizophrenia / physiopathology;Software"
n2-1690,"Chloroplasts / genetics*;DNA, Chloroplast / genetics;Agriculture;DNA, Mitochondrial / genetics;Phylogeny;Sequence Analysis, DNA;Evolution, Molecular;Genetic Variation*;Secale / classification*;Bayes Theorem"
n2-1691,"Proteomics;Phylogeny;Humans;Serotyping;Bacterial Typing Techniques / methods*;Salmonella typhi / genetics;Species Specificity;Salmonella typhi / isolation & purification*;Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization / methods*;Salmonella typhi / classification*"
n2-1693,"Stress, Physiological*;Droughts;Gene Expression Regulation, Plant*;Transcriptome;Gene Expression Profiling;Genes, Plant;Robinia / physiology;Robinia / genetics*;Polyethylene Glycols / metabolism;Real-Time Polymerase Chain Reaction"
n2-1694,"Signal Transduction / radiation effects;Mice, Inbred BALB C;Sequence Analysis, DNA;Dose-Response Relationship, Radiation;Signal Transduction / genetics;Genome / genetics*;Male;DNA (Cytosine-5-)-Methyltransferases / genetics;Real-Time Polymerase Chain Reaction;Genetic Testing*"
n2-1695,"Databases, Protein;Proteins / chemistry*;Software*;Molecular Conformation;Ligands*;Web Browser*;Molecular Docking Simulation*;Algorithms;Protein Conformation;Protein Binding"
n2-1696,"Lipid Metabolism / drug effects;Tea Tree Oil / administration & dosage;Tea Tree Oil / chemistry;Oils, Volatile / chemistry;Skin / drug effects;Animals;Male;Chitosan*;Skin / metabolism;Gas Chromatography-Mass Spectrometry"
n2-1697,"Brain / metabolism*;Prion Diseases / etiology*;Creutzfeldt-Jakob Syndrome;Brain / pathology;Macaca;Temperature;Animals;Disease Models, Animal;Humans;Prion Diseases / pathology"
n2-1698,"Male;Humans;Angiography*;Tomography, Optical Coherence*;Retinal Vessels / cytology;Image Processing, Computer-Assisted / methods*;Retinal Vessels / diagnostic imaging*;Female;Adult"
n2-1699,Blood Pressure / physiology;Intraocular Pressure* / physiology;Vitreous Body / physiology;Tibet;Altitude Sickness / physiopathology;Altitude*;Male;Humans;Anterior Chamber / anatomy & histology;Cornea / physiology
n2-1700,PubMed*;Humans;Periodicals as Topic;Metadata*;Data Mining*;Systematic Reviews as Topic*
n2-1703,"Rats, Wistar;Heart Failure / drug therapy;Heart Ventricles;Animals;Disease Models, Animal;Blood Pressure;Male;Ventricular Remodeling;Ventricular Function, Right;Hemodynamics"
n2-1705,Calreticulin / metabolism;Male;Humans;Muscular Diseases / enzymology*;Case-Control Studies;Endoplasmic Reticulum / metabolism;Adenosine Triphosphatases / metabolism;Molecular Chaperones / metabolism;Unfolded Protein Response*;Biopsy
n2-1708,Hypertension / ethnology*;Hypertension / etiology*;Middle Aged;Male;Humans;Risk Factors;Stroke / epidemiology;Urban Population;Waist Circumference;Cross-Sectional Studies
n2-1709,"Esophagus / pathology;Prognosis;Middle Aged;Carcinoma, Squamous Cell / genetics*;Male;Humans;Polymorphism, Single Nucleotide*;Esophageal Neoplasms / mortality;Proto-Oncogene Proteins c-mdm2 / genetics*;Adult"
n2-1710,Republic of Korea;Animals;Genomics / methods;High-Throughput Nucleotide Sequencing;Breeding*;Genome;DNA Copy Number Variations;Cattle / genetics*;Homozygote;INDEL Mutation
n2-1712,"Cell Line, Tumor;Humans;Ciprofloxacin / analogs & derivatives*;Protein Kinase Inhibitors / pharmacology*;Ciprofloxacin / chemistry;Cell Cycle Checkpoints / drug effects;Protein-Tyrosine Kinases / antagonists & inhibitors*;Pancreatic Neoplasms / pathology*;DNA Topoisomerases, Type II / metabolism*;Chalcone / chemistry*"
n2-1713,"Bacteria, Anaerobic / immunology;Humans;Chlamydia Infections / immunology;Infertility / immunology;Cohort Studies;Microbiota / immunology*;Chlamydia trachomatis / pathogenicity;Chlamydia Infections / complications;Academic Medical Centers;Chlamydia trachomatis / isolation & purification*"
n2-1714,"Carrier Proteins / chemistry*;Protein Domains;RNA Polymerase II / metabolism;Humans;Transcription Initiation, Genetic*;Potassium Chloride / chemistry;RNA Polymerase II / chemistry*;Phosphorylation;Carrier Proteins / metabolism;Cyclin-Dependent Kinase-Activating Kinase"
n2-1715,"Long-Term Synaptic Depression*;Hippocampus / metabolism;Rats, Sprague-Dawley;Synaptic Transmission*;Animals;Calpain / metabolism;Jaundice / diagnosis;Electrophysiology / methods;Bilirubin / pharmacology*;Humans"
n2-1716,"Databases, Factual;Population Groups / genetics;Metabolic Syndrome / genetics*;Alleles;Genetic Variation;Humans;Male;Pharmacogenetics*;Population Surveillance;Tunisia / epidemiology"
n2-1717,Oxygen / metabolism;Liver / metabolism;Adenosine / chemistry;Hemoglobins / chemistry*;Insulin / chemistry;Humans;Hepatic Artery / physiology;Oxygen Consumption;Temperature;Hemoglobins / metabolism
n2-1719,Respiratory Function Tests;Spirometry / methods*;Middle Aged;Aging / physiology*;Male;Cohort Studies;Body Height;Humans;Regression Analysis;Health*
n2-1720,"Endothelium, Corneal / pathology;Cornea / pathology;Endothelium, Corneal / metabolism;Sodium-Potassium-Exchanging ATPase / metabolism;Animals;Disease Models, Animal;Collagen Type I / metabolism;Humans;Rabbits;Collagen Type I / therapeutic use"
n2-1721,"Middle Aged;Humans;Oxygen / administration & dosage;Hypothermia, Induced / methods*;Hypothermia, Induced / instrumentation;Organ Preservation / instrumentation;Tissue Donors;Liver* / anatomy & histology;Hepatic Artery;Organ Preservation / methods*"
n2-1723,"Norepinephrine / metabolism;Stress, Physiological / drug effects*;Maze Learning / drug effects;Animals;Blotting, Western;JNK Mitogen-Activated Protein Kinases / antagonists & inhibitors*;Male;Anthracenes / pharmacology*;Corticosterone / blood;Protein Kinase Inhibitors / pharmacology"
n2-1724,Cell Line;Microtubule Proteins;Cilia / metabolism*;Myosin Heavy Chains / genetics;Humans;Nonmuscle Myosin Type IIB / genetics;Actins / metabolism*;Myosin Type II / metabolism*;Acetyltransferases / metabolism*;Acetylation
n2-1726,"Middle Aged;Sustained Virologic Response;Carcinoma, Hepatocellular / pathology*;Hepatitis C / drug therapy*;Male;Humans;Logistic Models;Antineoplastic Agents / therapeutic use;Hepatitis C / complications;Liver Neoplasms / pathology*"
n2-1727,"Signal Transduction / drug effects;Membrane Potential, Mitochondrial;Activating Transcription Factor 6 / metabolism;Phosphorylation / drug effects;2-Aminopurine / pharmacology;Proto-Oncogene Proteins c-bcl-2 / metabolism*;RNA Viruses / pathogenicity*;Heat-Shock Proteins / metabolism;Embryo, Nonmammalian;Eukaryotic Initiation Factor-2 / metabolism"
n2-1728,Proto-Oncogene Proteins c-bcl-2 / genetics;Proto-Oncogene Proteins c-bcl-2 / metabolism;Epithelial Cells / drug effects*;Amino Acid Chloromethyl Ketones / pharmacology;Caspase 3 / metabolism;Epithelial Cells / metabolism;Humans;Caspase 9 / metabolism;Caspase 8 / genetics;Oligopeptides / pharmacology
n2-1730,Incidence;Middle Aged;Thrombocytopenia / complications*;Male;Humans;Intraabdominal Infections / complications*;Retrospective Studies;Thrombocytopenia / epidemiology*;Female;Risk Factors
n2-1731,"Coenzyme A Ligases / metabolism*;Morus / genetics;Plant Leaves / metabolism;Plant Stems / metabolism;Phylogeny;Gene Expression Regulation, Plant;Plant Proteins / metabolism;Substrate Specificity;Morus / enzymology*;Coenzyme A Ligases / genetics*"
n2-1732,Back Muscles / physiology;Pilot Projects;Lumbar Vertebrae / physiology;Adult;Lumbosacral Region / physiology;Torso / physiology*;Young Adult;Male;Humans;Exercise / physiology
n2-1733,"Prognosis;Middle Aged;Polymorphism, Genetic / genetics*;Male;Humans;Oncogene Proteins / genetics*;Esophageal Neoplasms / pathology*;Colorectal Neoplasms / mortality*;Risk Factors;Colorectal Neoplasms / pathology"
n2-1734,"Humans;MicroRNAs / physiology*;Gene Expression Regulation, Neoplastic*;Zinc Finger E-box Binding Homeobox 2;Neoplasm Invasiveness;Signal Transduction;Homeodomain Proteins / metabolism;Wound Healing;Antibodies / metabolism;Cell Line, Tumor"
n2-1735,"Exercise;Humans;Risk Factors;Body Composition*;Body Weight*;Chronic Disease;Overweight / therapy*;Weight Loss*;Diet, Reducing;Obesity / therapy*"
n2-1736,"Middle Aged;China / epidemiology;Self Report;Male;Rural Population / statistics & numerical data;Chronic Disease / epidemiology*;Humans;Aged, 80 and over;Surveys and Questionnaires*;Aged"
n2-1738,"Genes, Plant / genetics*;Arabidopsis / genetics*;Gene Expression Regulation, Plant*;Genetic Variation*;Amino Acid Sequence;Arabidopsis Proteins / genetics*;Arabidopsis Proteins / metabolism;Arabidopsis / anatomy & histology*;Sequence Homology, Nucleic Acid;Genes, Duplicate / genetics*"
n2-1739,Inferior Colliculi / metabolism;Interleukin-1beta / genetics;Salicylates / pharmacology*;Cyclooxygenase 2 / genetics;Animals;Male;Inferior Colliculi / drug effects;Phycocyanin / pharmacology*;Tinnitus / drug therapy;Tinnitus / chemically induced*
n2-1740,"Hypertension / blood;von Willebrand Factor / metabolism;Endothelium, Vascular / pathology;Adult;Biomarkers / blood;Male;Vascular Endothelial Growth Factor A / blood;Humans;Glomerulonephritis, IGA / blood*;Proteinuria / blood"
n2-1741,"Plant Stomata / metabolism*;Autoimmunity / genetics;Gene Expression Regulation, Plant;Arabidopsis Proteins / genetics;Arabidopsis / immunology*;Arabidopsis / genetics;Hot Temperature;Chimera / genetics;Receptors, Immunologic / metabolism;Autoimmunity / immunology"
n2-1742,Electronics*;Middle Aged;Republic of Korea;Male;Mental Health*;Humans;Occupations*;Work Schedule Tolerance / psychology*;Female;Cross-Sectional Studies
n2-1743,Rad52 DNA Repair and Recombination Protein / chemistry*;BRCA1 Protein / deficiency;Rad52 DNA Repair and Recombination Protein / metabolism*;BRCA1 Protein / genetics;Small Molecule Libraries / pharmacology*;Humans;Breast Neoplasms / drug therapy;Germ-Line Mutation / genetics;Breast Neoplasms / pathology;Molecular Docking Simulation
n2-1744,"Binding Sites;E2F Transcription Factors / metabolism*;Humans;Carrier Proteins / genetics;Promoter Regions, Genetic;Carrier Proteins / metabolism*;Signal Transduction;Chromatin / metabolism;Retinoblastoma Protein / genetics;S Phase* / genetics"
n2-1745,"Search Engine;Animals;Humans;Databases, Protein*;Information Storage and Retrieval;Ubiquitination*;Mammals / metabolism*"
n2-1746,"CELF1 Protein / antagonists & inhibitors*;Liver Neoplasms / pathology*;Quinazolines / pharmacology*;Carcinoma, Hepatocellular / pathology*;Gene Expression Regulation, Neoplastic / drug effects;Piperazines / pharmacology*;Humans;Antineoplastic Agents / pharmacology*;CELF1 Protein / genetics;Cell Proliferation / drug effects"
n2-1747,"Drug Synergism;Cryptococcus neoformans / drug effects*;Microbial Sensitivity Tests;Antifungal Agents / pharmacology*;Dose-Response Relationship, Drug;Amphotericin B / pharmacology*;Nanostructures / chemistry;Silver / pharmacology*"
n2-1748,"Hypersensitivity / etiology;Middle Aged;Diagnosis, Differential;Male;Bee Venoms / toxicity*;Humans;Wasp Venoms / toxicity*;Hypersensitivity / diagnosis*;Female;Adult"
n2-1749,"Neoplasm Recurrence, Local / pathology*;Disease-Free Survival;Biomarkers, Tumor / analysis*;Humans;Neoplasms / diagnosis;Neoplasms / pathology*;Immunohistochemistry;Clusterin / metabolism*;Neoplasms / mortality*;Male"
n2-1750,Animals;RNA Interference;Caenorhabditis elegans Proteins / metabolism*;Caenorhabditis elegans / cytology*;Kinetochores / metabolism;Male;Protein Serine-Threonine Kinases / metabolism*;Cell Proliferation;Metaphase;Oocytes / metabolism
n2-1752,Genetic Loci*;Forensic Genetics / methods;Male;Humans;Paternity*;Microsatellite Repeats*;Female
n2-1753,"Confidentiality*;Information Storage and Retrieval / methods*;Humans;Health Records, Personal;Algorithms;Computer Security;Computers"
n2-1754,"Mice, Inbred C57BL;Benzodiazepines / metabolism;Anxiety*;Chlordiazepoxide / pharmacology;Animals;Male;Behavior, Animal*;Bicuculline / pharmacology;Light;Phosphorylation"
n2-1757,Nitrogen / analysis;Phosphorus / analysis;Plant Leaves / chemistry;Ecosystem;Soil* / chemistry;Plants* / chemistry;Wetlands;Plant Roots / chemistry;China;Lakes
n2-1758,"Muscle, Smooth / pathology;Hirschsprung Disease / metabolism*;Hirschsprung Disease / surgery;Interstitial Cells of Cajal / metabolism*;Myenteric Plexus / pathology*;Infant;Cell Adhesion Molecules, Neuronal / metabolism*;Colon / surgery;Male;Humans"
n2-1759,"Carcinoma, Ovarian Epithelial;Prognosis;Humans;DNA Methylation;BRCA2 Protein / metabolism;Promoter Regions, Genetic;BRCA1 Protein / genetics*;Germ-Line Mutation;BRCA1 Protein / metabolism;Gene Expression"
n2-1760,"Estrogen Receptor alpha / antagonists & inhibitors;Humans;Mitogen-Activated Protein Kinase 1 / metabolism;Estrogen Receptor alpha / metabolism*;Neoplasm Invasiveness;Signal Transduction* / drug effects;Cell Line, Tumor;Cell Movement / drug effects;Phosphoproteins / metabolism;Nitriles / pharmacology"
n2-1761,"Fluorescein-5-isothiocyanate / analogs & derivatives;Microscopy, Fluorescence, Multiphoton / instrumentation;Imaging, Three-Dimensional / instrumentation;Microscopy, Fluorescence, Multiphoton / methods*;Photons*;Fluorescent Dyes;Cell Line, Tumor;Dextrans;Humans;Imaging, Three-Dimensional / methods*"
n2-1763,Stroke / therapy*;Intracranial Hemorrhages / complications;Middle Aged;Tissue Plasminogen Activator / therapeutic use;Male;Humans;Intracranial Hemorrhages / etiology*;Thrombolytic Therapy / adverse effects*;Treatment Outcome;Aged
n2-1764,Obesity / pathology;Obesity / physiopathology;Mice;Anti-Inflammatory Agents / pharmacology*;Wound Healing / drug effects*;Kruppel-Like Transcription Factors / metabolism;Cell Differentiation / drug effects*;Animals;Obesity / metabolism*;3T3-L1 Cells
n2-1766,Prognosis;Middle Aged;Survival Analysis;Stomach Neoplasms / diagnosis*;Stomach Neoplasms / pathology*;Male;Humans;Stomach Neoplasms / surgery;Bayes Theorem;Multivariate Analysis
n2-1768,"Male;Mice, Inbred C3H;Steroid Hydroxylases / genetics;Lipids / analysis;Chromatography, Thin Layer;Receptors, LDL / genetics;Mice;Hydroxycholesterols / metabolism*;Steroid Hydroxylases / antagonists & inhibitors;Lipid Droplets / metabolism*"
n2-1770,"Autophagy-Related Protein 12 / antagonists & inhibitors;Autophagy-Related Protein 12 / immunology;Free Radical Scavengers / pharmacology;Fusobacterium Infections / genetics;Interleukin-1beta / genetics;Mice, Inbred C57BL;Adenine / pharmacology;Humans;RNA, Small Interfering / metabolism;Adenine / analogs & derivatives"
n2-1771,"Cyclophosphamide / therapeutic use*;Glomerulonephritis, Membranous / drug therapy*;Immunosuppressive Agents / therapeutic use*;Middle Aged;Adult;Male;Humans;Aged, 80 and over;Treatment Outcome;Retrospective Studies"
n2-1772,"Protein Deglycase DJ-1;Hydrogen Peroxide / pharmacology;Intracellular Space / metabolism*;Humans;Catalase / metabolism;Intracellular Signaling Peptides and Proteins / metabolism*;Microtubule-Associated Proteins / metabolism*;Rats;Blotting, Western;Cell Line, Tumor"
n2-1773,Humans;Astrocytes / drug effects;Carrier Proteins / pharmacology*;Coculture Techniques;Mice;Epidermal Growth Factor / pharmacology*;Cell Differentiation / drug effects;Dogs;Neurons / drug effects*;Synapses / metabolism*
n2-1774,"DNA, Complementary / metabolism;Gene Expression Regulation, Plant;Transcriptome*;Genes, Plant;Contig Mapping;Gene Library;Transcription, Genetic;Signal Transduction*;Gibberellins / metabolism*;Asteraceae / genetics*"
n2-1776,"Severity of Illness Index;Asian People / genetics;White People / genetics;Autism Spectrum Disorder / pathology;Humans;Serotonin Plasma Membrane Transport Proteins / genetics*;Latin America;Polymorphism, Single Nucleotide*;Gene Frequency;Autism Spectrum Disorder / genetics*"
n2-1777,"Muscle Fibers, Skeletal / metabolism*;Rats, Sprague-Dawley;Muscle Fibers, Skeletal / pathology;Animals;Male;Tobacco Smoke Pollution / adverse effects*;Humans;Citrate (si)-Synthase / metabolism*;Tumor Necrosis Factor-alpha / metabolism*;Rats"
n2-1778,"Gene Duplication;Genome, Plant;Homeodomain Proteins / genetics;Phylogeny;Chromosome Mapping;Gene Expression Profiling;Arabidopsis Proteins / genetics;Gene Expression Regulation, Plant;Amino Acid Sequence;Brassica napus / growth & development"
n2-1779,Immune Sera / drug effects;Humans;Aflatoxin B1 / immunology;Cattle;Enzyme-Linked Immunosorbent Assay;Hep G2 Cells;Aflatoxin B1 / toxicity;Dairying*;Animals;Lactation / drug effects
n2-1782,Neuraminidase / metabolism;Erysipelothrix / pathogenicity*;Erysipelothrix / isolation & purification;Swine Diseases / metabolism;Bacterial Proteins / genetics;Citric Acid Cycle / genetics;Erysipelothrix / genetics*;Down-Regulation;Neuraminidase / genetics;Phosphotransferases / metabolism
n2-1783,"Proto-Oncogene Proteins p21(ras) / genetics;Lung Neoplasms* / genetics;Humans;DNA (Cytosine-5-)-Methyltransferases* / genetics;DNA (Cytosine-5-)-Methyltransferases* / deficiency;Neoplasms, Experimental* / metabolism;DNA Methylation*;Mice;Proto-Oncogene Proteins p21(ras) / metabolism;Neoplasms, Experimental* / genetics"
n2-1784,"Mice, Inbred C57BL;Cells, Cultured;Animals;Circadian Rhythm*;Ear;Temperature*;Mice"
n2-1785,"Cardiac Surgical Procedures / instrumentation*;Costs and Cost Analysis;Defibrillators, Implantable / economics*;Middle Aged;Pacemaker, Artificial / economics*;Male;Humans;Aged, 80 and over;Cardiac Surgical Procedures / economics*;Aged"
n2-1786,"Fungi / physiology*;RNA, Plant;Plant Roots / growth & development;RNA Interference;Gene Expression Profiling;Gene Expression Regulation, Plant;Quantitative Trait, Heritable*;MicroRNAs / genetics*;Orchidaceae / genetics*;Orchidaceae / microbiology*"
n2-1788,"Dietary Supplements*;Vitamin E / administration & dosage*;Diabetes Mellitus, Type 2 / blood*;Fasting / blood;Humans;Insulin / blood;Blood Glucose / metabolism*;Antioxidants / administration & dosage;Glycated Hemoglobin / metabolism;Randomized Controlled Trials as Topic"
n2-1789,Lactuca / metabolism*;Phosphoproteins / genetics;Sucrose / metabolism*;Starch / metabolism*;Proteome / metabolism*;Heat-Shock Response*;Proteome / genetics;Lactuca / growth & development;Phosphoproteins / metabolism*
n2-1790,"Adaptation, Physiological / genetics*;Genes, Developmental*;Glycine max / physiology*;Crop Production;Gene Expression Regulation, Plant*;Photoperiod;Quantitative Trait Loci*;Alleles;Genes, Plant;Genetic Variation"
n2-1791,Thermoluminescent Dosimetry / methods;Radiotherapy Dosage*;Reproducibility of Results;Silicon Dioxide;Electrons;Germanium*;Optical Fibers / standards*
n2-1792,Diabetes Complications / mortality;Diabetes Complications / pathology;Risk;Urinary Bladder Neoplasms / mortality;Urinary Bladder Neoplasms / pathology;Humans;Urinary Bladder Neoplasms / etiology*;Diabetes Complications / etiology*;Diabetes Mellitus / pathology*;Diabetes Mellitus / mortality
n2-1793,"Gene Expression Regulation, Plant;Plant Roots / metabolism*;MicroRNAs / genetics;RNA, Plant / genetics*;Plant Leaves / metabolism*;Bambusa / genetics*;Chloroplasts / genetics"
n2-1794,"Proteomics / methods*;Tandem Mass Spectrometry / methods;Cell Line;Peptides / chemistry;Methylation;Humans;Histones / genetics*;Histones / metabolism*;Chromatography, Liquid / methods;Protein Processing, Post-Translational / genetics"
n2-1795,Prognosis;Middle Aged;Humans;Lymphatic Metastasis;Macrophages / metabolism*;Survival Analysis;Breast Neoplasms / mortality;Adult;Lymph Nodes / pathology*;Breast Neoplasms / pathology*
n2-1796,"Animals;Search Engine / methods*;Tribolium / genetics;Tribolium / anatomy & histology;Tribolium / classification*;Internet;Drosophila melanogaster / embryology;Coleoptera / embryology;Embryo, Nonmammalian / cytology;Metamorphosis, Biological"
n2-1797,"Ubiquinone / genetics*;Schizosaccharomyces / metabolism;Arabidopsis / genetics*;Genes, Fungal;Arabidopsis / metabolism;Genes, Plant;Humans;Ubiquinone / metabolism;Schizosaccharomyces / genetics*;Biosynthetic Pathways"
n2-1798,Nidovirales Infections / transmission*;Culex / virology*;Aedes / growth & development;Dengue Virus / growth & development;Zika Virus / growth & development;Animals;Water Microbiology;Horses;Mosquito Vectors / virology;Culex / growth & development
n2-1799,"Medicine, Chinese Traditional;Rheum / genetics*;Phylogeny;Genetics, Population*;Genetic Variation;Humans;China;Bayes Theorem;Microsatellite Repeats / genetics*;Endangered Species"
n2-1800,Principal Component Analysis;Autoantibodies / immunology*;Protein Array Analysis;Humans;Autoantigens / immunology;Antibody Specificity;Desmoglein 3 / immunology;Sensitivity and Specificity;Pemphigus / blood*;Proteomics*
